question,response,price_chopper_zscore
Country of Birth,Serbia and Montenegro,6.779
5th Oldest Child Age,8,6.5
Designated Market Area (DMA),Utica,6.495
Designated Market Area (DMA),Binghamton,6.488
Designated Market Area (DMA),Syracuse,6.265
Designated Market Area (DMA),Kansas City,6.216
Designated Market Area (DMA),Albany - Schenectady - Troy,5.891
Designated Market Area (DMA),Saint Joseph,4.567
State of Residence,Kansas,4.159
Designated Market Area (DMA),Watertown,4.139
State of Residence,Vermont,3.733
Designated Market Area (DMA),Topeka,3.673
Designated Market Area (DMA),Burlington - Plattsburgh,3.435
Source where most recent pet is from,Other,3.416
Profession or job,Other Sales or Sales support role,3.415
Birth Year,1976.0,3.011
age,42.0,2.986
Birth Year,1927.0,2.938
State of Residence,New York,2.825
Birth Year,1940.0,2.691
age,86.0,2.317
Profession or job,Sales associate / sales clerk / cashier,2.311
4th Oldest Child Age,4,2.295
Birth Year,1931.0,2.243
Type of Area Living In,Other,2.097
Lithuanian (foreign languages spoken),Yes,2.073
Living with other adult family members, e.g., Grandparents, Cousins, etc.,Yes,1.964
Tagalog/Filipino,Yes,1.955
Division,West North Central,1.883
Type of organization currently working for,Other,1.849
Number of children under 18 in household,7.0,1.808
Profession or job,Teacher or Professor,1.74
age,19.0,1.718
Move out of parental home,No,1.717
age,64.0,1.665
age,77.0,1.64
State of Residence,Missouri,1.62
Type of Area Living In,Rural area,1.597
age,73.0,1.551
age,67.0,1.549
age,59.0,1.524
age,56.0,1.495
12 years old,No,1.476
Birth Year,1951.0,1.469
Division,Middle Atlantic,1.456
Birth Year,1952.0,1.429
Region,Northeast,1.411
4th Oldest Child Age,10,1.397
Birth Year,1954.0,1.385
Birth Year,1999.0,1.368
Type of school/university currently working for,Public elementary school,1.312
2 years old,Yes,1.289
Birth Year,1962.0,1.28
age,36.0,1.273
Race,White,1.273
2nd Oldest Child Age,Not Applicable,1.263
Designated Market Area (DMA),Jonesboro,1.25
Garden size,Larger than 4 tennis courts (over 10,000 sq ft),1.249
Household size (2),2,1.237
Household size (1),2.0,1.237
Profession or job,Clerk,1.233
Birth Year,1948.0,1.233
Education (Degree subject studied),Yes,1.227
Prefer not to answer (Life events in the past 12 months),No,1.197
Pregnant,No,1.188
Interaction with smarter people,Yes,1.168
Do you speak Spanish,I can not speak Spanish,1.154
Kid 2 Gender,Not applicable - I do not have a child under 18,1.131
Oldest Child Age,13,1.126
NAICS Industry Code,Non-profit, Community, Religious and Social Service Organizations,1.11
Move house,No,1.11
Closer to my family,No,1.105
Other (Animals (pets or working) owned in household),Yes,1.101
age,45.0,1.101
Employment Status,Retired,1.096
Birth Year,1959.0,1.095
Purchase or sell a house/flat,No,1.094
2nd Oldest Child Age,16,1.086
Birth Year,1945.0,1.086
Kid 1 Gender,Not applicable - I do not have a child under 18,1.085
NAICS Industry Code,Education,1.07
Prefer not to answer (Life events planned in the next 12 months),No,1.068
None of the above (Life events planned in the next 12 months),Yes,1.058
Union membership household,Current member,1.05
Birth Year,1971.0,1.049
To travel,No,1.048
16,Yes,1.04
Oldest Child Age,Not Applicable,1.026
17 years old,Yes,1.026
Took gap Year/career break,No,1.025
White,Yes,1.025
Relationship status,In a relationship and living together,1.024
Designated Market Area (DMA),Wilkes Barre - Scranton,1.024
Birth Year,1998.0,1.023
Start college or re-enrol in school,No,1.022
Generation,Pre-Silent Generation (1927 and earlier),1.016
age,71.0,1.014
Fish (including outdoor) (Pets owned in household),Yes,1.012
Tamil (foreign languages spoken),Yes,1.006
age,65.0,1.002
Designated Market Area (DMA),Joplin - Pittsburg,1.001
Buy a car,No,1.001
Country of Birth,United States,0.994
State of Residence,Ontario,0.982
Finance / accounting,Yes,0.974
Finished School/College,No,0.966
None of the above (Life events in the past 12 months),Yes,0.963
Start University,No,0.954
Moved out of parental home,No,0.952
Spanish (foreign languages spoken),No,0.95
Job Title,Tradesman/Trade Specialist,0.94
Job Title,Vice President/Assistant VP/Principal,0.928
3rd Oldest Child Age,16,0.924
Accounting (Degree subject studied),No,0.921
Sunoco Markets 1,Boston: Boston-Cambridge-Newton, MA-NH,0.919
Started University,No,0.912
To give back (Reasons for having a side job),No,0.905
Engineering (Degree subject studied),No,0.903
age,83.0,0.902
Not applicable - I can't speak any other languages other than English,Yes,0.899
Moved abroad,No,0.891
Designated Market Area (DMA),Rochester - NY,0.887
To discover something new,No,0.883
Frequency of using outdoor space,Several days per week,0.882
Annual Company Revenue,More than $1 Billion,0.875
NAICS Industry Code,Other,0.871
Age (media) 18-34 / 35-49 / 50-64 / 65+,65 and up,0.87
Age (4-way) 18-29 / 30-44 / 45-64 / 65+,65+,0.87
Age (6-way) 18-24 / 25-34 / 35-44 / 45-54 / 55-64 / 65+,65+,0.87
Sell and purchase a house/flat (i.e. in one transaction),No,0.868
Job Title,Other,0.867
New pet timeframe,Don’t know,0.864
Company Size,1001-5000,0.86
Birth Year,1935.0,0.86
Don't know (mixed race),No,0.856
Age (5-way) 18-24 / 25-34 / 35-44 / 45-54 / 55+,55+,0.851
Get engaged,No,0.844
To create something (Reasons for having a side job),No,0.84
Annual Company Revenue,$51 Million to $100 Million,0.837
Type school attending,Not applicable - I am not attending school,0.832
Mandarin/Cantonese,No,0.83
Designated Market Area (DMA),Hartford - New Haven,0.827
Generation,Baby Boomer (1946-1964),0.82
The money,No,0.809
To build an empire,No,0.807
Purchased first home,No,0.803
Other (Working animals owned in household),No,0.802
Source where most recent pet is from,Bred it myself,0.797
Living with child(ren) who are below 18,No,0.796
None of these (Degree subject studied),No,0.794
16 years old,No,0.792
6 years old,No,0.792
Moved back into parental home,No,0.792
For personal growth,No,0.787
Annual Company Revenue,Don't Know/Unsure,0.783
3,No,0.783
MSFT ITDMs and ITIs,None of the above apply,0.783
Not applicable - I don't have any working animals,Yes,0.782
To get out of the house,No,0.779
Type of school/university currently working for,Private university,0.779
age,66.0,0.777
10 (Ages of children < 18 in household),No,0.775
0,Yes,0.774
Job Title,Professor/Teacher/Educator,0.771
14,No,0.771
age,84.0,0.767
Finished mortgage repayment,No,0.762
In the market for a new job,Not applicable – I’m retired,0.762
Physical sciences (e.g., chemistry, physics, etc.),No,0.76
3rd Oldest Child Age,7,0.756
Age (6-way) 18-24 / 25-34 / 35-44 / 45-54 / 55-64 / 65+,55-64,0.756
6,No,0.752
Got engaged,No,0.751
Tortoise or turtle (Pets owned in household),No,0.75
Cat (Working animals owned in household),No,0.749
Designated Market Area (DMA),Des Moines - Ames,0.74
Move abroad,No,0.739
Social sciences (e.g., psychology, sociology, etc.),Yes,0.737
IT,No,0.735
Asian,No,0.729
Finish mortgage repayment,No,0.728
Office management / equipment / stationery,Yes,0.726
Move in with partner,No,0.726
Birth Year,1973.0,0.725
Individual Income,Less than $20,000,0.725
Sunoco Markets 1,Philadelphia: Philadelphia–Camden–Wilmington MSA,0.724
Type of school/university currently working for,Private secondary school (includes middle-school or junior high),0.724
Dog (Working animals owned in household),No,0.717
10 years old,No,0.712
Tortoise or turtle (Animals (pets or working) owned in household),No,0.712
age,61.0,0.705
age,78.0,0.703
age,80.0,0.702
Birth of first child (Life events in the past 12 months),No,0.698
Company Size,5001-10000,0.697
Lizard (Pets owned in household),No,0.694
Gerbil (Animals (pets or working) owned in household),No,0.692
Better benefits (e.g. health, holiday allowances, child care),No,0.69
Student Full or Part-time,I am not enrolled in school,0.689
To learn a new skill,No,0.689
Urdu (foreign languages spoken),No,0.682
Marital Status,Domestic / civil partnership,0.679
7,No,0.679
Not applicable – I do not have any decision making involvement or influence in my organization,Yes,0.675
Household size (1),6.0,0.674
Household size (2),6,0.674
Graduate from University,No,0.672
Marketing / communications,No,0.669
Age (4-way) 18-29 / 30-44 / 45-64 / 65+,45-64,0.667
3rd Oldest Child Age,Not Applicable,0.666
Birth Year,1955.0,0.664
Frequency of using outdoor space,Less often,0.663
Graduated from University,No,0.662
None of these (Household type),No,0.659
Hispanic,No,0.658
7 years old,Yes,0.658
Arabic (foreign languages spoken),No,0.658
Birth Year,1953.0,0.656
Lizard (Animals (pets or working) owned in household),No,0.655
Parent or guardian of child(ren) under 16 in full-time education,No,0.654
Profession or job,Nurse,0.649
Level of government currently working for,State,0.648
Number of children under 18 in household,0.0,0.639
Profession or job,Other Health-related professional,0.639
Procurement / purchasing,Yes,0.638
age,47.0,0.637
NAICS Industry Code,Retail Trade,0.633
Birth of first child (Life events planned in the next 12 months),No,0.633
Gender,Female,0.631
Black,No,0.626
Cat (Animals (pets or working) owned in household),Yes,0.622
Access to garden,Yes, I have access to my own outdoor space,0.622
Birth Year,1934.0,0.622
Age (media) 18-34 / 35-49 / 50-64 / 65+,50-64,0.614
Adopt a child,No,0.612
Worksite type,On-site indoors (e.g. at an office/ restaurant/ hospital, etc.),0.609
Make a major home improvement,No,0.607
Divorced/separated from long-term partner / Ended an intimate relationship,No,0.605
State of Residence,Connecticut,0.604
Birth Year,1966.0,0.602
Birth of second or subsequent child (Life events planned in the next 12 months),No,0.601
Birth Year,1937.0,0.601
Adopted a child,No,0.601
Birth Year,1961.0,0.599
NAICS Industry Code,Law and Legal Services,0.597
Type of organization currently working for,School or university,0.596
Hamster (Pets owned in household),No,0.589
Rabbit (Pets owned in household),No,0.577
Distribution / logistics,No,0.576
Bird (Animals (pets or working) owned in household),No,0.574
Designated Market Area (DMA),Springfield-Mo,0.573
Interaction with more people,No,0.572
Bengali (foreign languages spoken),No,0.571
The challenge,No,0.57
Job Title,Doctor/Physician/Nurse,0.569
School type - currently attending,Not attending any educational institution,0.568
Job Title,Partner/Owner,0.565
Made redundant from work,No,0.565
Gerbil (Working animals owned in household),No,0.559
Portuguese (foreign languages spoken),No,0.559
Disability type,Physical condition,0.557
age,63.0,0.555
Other (foreign languages spoken),No,0.555
Division,New England,0.554
Company mobile phones,No,0.551
Allow me to create things,No,0.547
Gujarati,No,0.547
5,No,0.546
Birth of grandchild,Yes,0.545
Fish (including outdoor) (Working animals owned in household),No,0.545
Birth Year,1982.0,0.544
Bought a car,Yes,0.541
Have a child go to University,No,0.537
Profession or job,All other roles and professions,0.535
Teach me new skills,No,0.535
Gerbil (Pets owned in household),No,0.533
Birth of second or subsequent child (Life events in the past 12 months),No,0.526
Company Size,501-1000,0.525
Hamster (Animals (pets or working) owned in household),No,0.525
Children under the age of 18,No,0.521
Not applicable - no children <18 in household,Yes,0.521
8 years old,No,0.521
Bird (Pets owned in household),No,0.52
Gap year/Career break,No,0.518
Living with a spouse or partner,Yes,0.518
Mathematics (Degree subject studied),No,0.518
Not Applicable – I do not currently work (Dream career qualities),Yes,0.513
Not applicable - I never attended college,No,0.512
Garden size,A balcony space only (i.e., any plants have to be in pots),0.511
Not applicable - I do not have any grandchildren,Yes,0.51
Kid 6 Gender,Not applicable - I do not have a child under 18,0.51
NAICS Industry Code,Mining, Oil and Gas Extraction, and Utilities,0.508
Tortoise or turtle (Working animals owned in household),No,0.506
Oldest Child Age,12,0.505
Race,Other,0.505
Type of organization currently working for,Non-profit organization,0.503
Birth Year,1957.0,0.503
To create something (Reasons for joining career field),Yes,0.501
For health benefits,No,0.501
Environment / recycling,Yes,0.499
Punjabi (foreign languages spoken),No,0.497
Be made redundant at work,No,0.497
Household - time since last moved,7 to less than 12 months,0.495
Like or dislike job,I hate it,0.495
Source where most recent pet is from,Not applicable – I don’t own a pet,0.493
Generation,Silent Generation (1928-1945),0.49
Would switch careers if money was no object,Not Applicable – I do not currently work,0.487
Bird (Working animals owned in household),No,0.484
Employment Status,Other,0.484
In the market for a new job,Not at all likely,0.483
Rabbit (Working animals owned in household),No,0.483
Moved house,No,0.478
Polish (foreign languages spoken),No,0.478
Birth Year,1946.0,0.478
1 year old,Yes,0.475
Turkish (foreign languages spoken),No,0.473
Italian (foreign languages spoken),No,0.467
Not applicable - I don't have any pets,Yes,0.466
Biological sciences (e.g., neuroscience, zoology, etc.),No,0.463
Individual Income,$50,000 - $59,999,0.462
Persian/Farsi,No,0.462
Served Active Duty,No, never served in the military,0.462
None of these (Dream career qualities),No,0.459
1,No,0.459
age,52.0,0.458
Start first job,No,0.456
Don't know (Ages of grandchildren),No,0.452
Russian (foreign languages spoken),No,0.452
School type - currently attending,Trade, vocational, or professional school,0.452
Nepalese,No,0.447
Household - time since last moved,10 or more years,0.447
Garden size,2-4 tennis courts (approximately 5,001 sq ft-10,000 sq ft),0.445
Not Applicable – I do not currently work (Reasons for having a side job),Yes,0.443
Not Applicable – I do not currently work (Reasons for joining career field),Yes,0.443
Domestic fowl (e.g. chicken, turkey, pheasant, etc.) (Pets owned in household),No,0.442
Have more variety with projects,No,0.442
Company pension scheme,No,0.441
Career change if it were possible,Not Applicable – I do not currently work,0.435
Other (Reasons for joining career field),No,0.435
Cat (Pets owned in household),Yes,0.433
Garden size,A land or courtyard space that is less than half a tennis court (approximately less than 1,250 sq ft),0.433
Middle Eastern,No,0.428
6th Oldest Child Age,Not Applicable,0.427
Kid 7 Gender,Not applicable - I do not have a child under 18,0.426
Birth Year,1944.0,0.425
In the market for a new job,Likely,0.425
Dog (Pets owned in household),Yes,0.425
Law (Degree subject studied),Yes,0.424
Purchased or sold a house/flat,No,0.424
Snake (Working animals owned in household),No,0.421
Started college or re-enrolled in school,No,0.421
Job Title,Executive Vice President/Senior VP,0.414
Number of children under 18 in household,4.0,0.412
Other (Dream career qualities),No,0.411
Liberal arts / humanities (e.g., English, history, languages, etc.),Yes,0.41
Career change if it were possible,Yes,0.409
15 years old,Yes,0.408
Profession or job,Other Finance professional,0.405
7th Oldest Child Age,Not Applicable,0.4
Somali (foreign languages spoken),No,0.396
Frequency of using outdoor space,Once a week,0.396
4,Yes,0.395
age,55.0,0.395
15,No,0.392
Grandparent - yes or no,No,0.392
Domestic fowl (e.g. chicken, turkey, pheasant, etc.) (Animals (pets or working) owned in household),No,0.387
Living with brother(s) or sister(s),No,0.383
Lizard (Working animals owned in household),No,0.383
Profession or job,Recruiter,0.381
Travel more,Yes,0.377
Kid 3 Gender,Not applicable - I do not have a child under 18,0.375
Private medical insurance / healthcare,No,0.374
NAICS Industry Code,Manufacturing,0.372
Started first job,No,0.371
Not Applicable - I do not have a side job or paid hobby,Yes,0.37
State of Residence,Massachusetts,0.37
Kid 8 Gender,Not applicable - I do not have a child under 18,0.368
Kid 10 Gender,Not applicable - I do not have a child under 18,0.368
Kid 9 Gender,Not applicable - I do not have a child under 18,0.368
Started a new job,No,0.368
Made a major home improvement,Yes,0.364
German (foreign languages spoken),No,0.363
Company Size,6-10,0.36
E-Commerce / internet services,Yes,0.358
Because I thought I could do something better than what’s out there,No,0.358
To support myself,No,0.358
Job Title,Associate/Senior Associate,0.357
Region,Midwest,0.355
Company cars,No,0.354
Oldest Child Age,1,0.351
9 years old,Yes,0.349
Kid 5 Gender,Female,0.347
Dog (Animals (pets or working) owned in household),Yes,0.347
Living with friend(s) or housemate(s),No,0.345
Health / medicine,Yes,0.344
Domestic fowl (e.g. chicken, turkey, pheasant, etc.) (Working animals owned in household),No,0.342
No. of months been disabled,0,0.34
Corporate hospitality / relations,No,0.34
8th Oldest Child Age,Not Applicable,0.339
Child got married,No,0.338
To do something I love/always wanted to do,No,0.337
Job Title,Manager/Senior Manager,0.332
Birth Year,1985.0,0.331
Not applicable – I'm a sole trader,Yes,0.331
