name,value,latitude,longitude
Portland%2F%2F%2FAuburn,0.48,43.7111553,-70.2905457
New%2FYork,0.48,40.7127753,-74.0059728
Binghamton,0.34,42.09868669999999,-75.91797380000001
Macon,0.34,32.8406946,-83.6324022
Philadelphia,0.51,39.9525839,-75.1652215
Detroit,0.39,42.331427,-83.0457538
Boston,0.52,42.3600825,-71.0588801
Savannah,0.32,32.0808989,-81.091203
Pittsburgh,0.36,40.44062479999999,-79.9958864
Fort%2FWayne,0.15,41.079273,-85.1393513
Cleveland,0.41,41.49932,-81.6943605
Washington%2FDc,0.43,38.9071923,-77.0368707
Baltimore,0.37,39.2903848,-76.6121893
Flint%2F%2F%2FSaginaw%2F%2F%2FBay%2FCity,0.38,43.424812,-83.895039
Buffalo,0.45,42.88644679999999,-78.8783689
Cincinnati,0.39,39.1031182,-84.5120196
Erie,0.33,42.12922409999999,-80.085059
Charlotte,0.38,35.2270869,-80.8431267
Greensboro%2F%2F%2FHigh%2FPoint%2F%2F%2FWinston%2FSalem,0.32,35.9556923,-80.0053176
Charleston%2FSc,0.5,32.7764749,-79.93105120000001
Augusta,0.39,33.4734978,-82.0105148
Providence%2F%2F%2FNew%2FBedford,0.52,41.851396,-71.4018324
Columbus%2FGa,0.47,32.4609764,-84.9877094
Burlington%2F%2F%2FPlattsburgh,0.75,44.7038045,-73.4926256
Atlanta,0.4,33.7489954,-84.3879824
Albany%2FGa,0.0,31.5785074,-84.15574099999999
Utica,0.61,43.100903,-75.232664
Indianapolis,0.45,39.768403,-86.158068
Miami%2F%2F%2FFort%2FLauderdale,0.42,26.3013917,-80.6326916
Louisville,0.33,38.2526647,-85.7584557
Tallahassee%2F%2F%2FThomasville,0.43,30.4382559,-84.28073289999999
Tri%2FCities%2FTn%2FVa,0.41,36.4742739,-82.4092526
Albany%2F%2F%2FSchenectady%2F%2F%2FTroy,0.51,42.7636479,-73.65362089999999
Hartford%2F%2F%2FNew%2FHaven,0.58,41.7628822,-72.6840744
Columbus%2FOh,0.36,39.9611755,-82.99879419999999
Youngstown,0.35,41.0997803,-80.6495194
Bangor,0.2,53.22739,-4.129263
Rochester%2F%2F%2FNY,0.43,43.15657789999999,-77.6088465
Tampa%2F%2F%2FSaint%2FPetersburg,0.44,27.7676008,-82.64029149999999
Traverse%2FCity%2F%2F%2FCadillac,0.1,44.735141,-85.594194
Lexington,0.29,38.0405837,-84.5037164
Dayton,0.56,39.7589478,-84.1916069
Springfield%2F%2F%2FHolyoke,0.51,42.2042586,-72.6162009
Norfolk%2F%2F%2FPortsmouth%2F%2F%2FNewport%2FNews,0.3,36.8354258,-76.2982742
Columbia%2FSc,0.36,34.0007104,-81.0348144
West%2FPalm%2FBeach%2F%2F%2FFort%2FPierce,0.36,27.4876618,-80.34223109999999
Watertown,0.82,-31.9468414,115.8474036
Wilmington,0.38,34.2103894,-77.8868117
Lansing,0.38,42.732535,-84.5555347
Presque%2FIsle,1.0,42.1585823,-80.1149411
Marquette,0.3,43.038473,-87.93044549999999
Wheeling%2F%2F%2FSteubenville,0.24,40.0658125,-80.72142269999999
Syracuse,0.55,43.0481221,-76.14742439999999
Richmond%2F%2F%2FPetersburg,0.47,37.536589,-77.42849199999999
Knoxville,0.34,35.9606384,-83.9207392
Lima,0.0,-12.0463731,-77.042754
Raleigh%2F%2F%2FDurham,0.49,35.8991678,-78.86364019999999
Jacksonville%2F%2F%2FBrunswick,0.32,30.3078641,-81.5935068
Grand%2FRapids%2F%2F%2FKalamazoo%2F%2F%2FBattle%2FCreek,0.59,42.2887934,-85.5646616
Charleston%2F%2F%2FHuntington,0.35,38.3190705,-81.7163233
Elmira,0.4,42.0897965,-76.8077338
Harrisburg%2F%2F%2FLancaster%2F%2F%2FLebanon%2F%2F%2FYork,0.44,40.298154,-76.87823999999999
Harrisonburg,0.4,38.4495688,-78.8689155
Florence%2F%2F%2FMyrtle%2FBeach,0.31,33.6824661,-78.9638109
Fort%2FMyers%2F%2F%2FNaples,0.46,26.640628,-81.8723084
Roanoke%2F%2F%2FLynchburg,0.48,37.4323249,-79.1227439
Johnstown%2F%2F%2FAltoona,0.2,40.4530014,-78.39304920000001
